time,vehicles
0,0
6,0
13,0
20,0
26,0
33,0
40,0
46,0
53,0
60,1
66,0
73,0
80,1
86,1
93,0
100,0
106,0
113,0
120,1
126,0
133,0
140,0
146,0
153,0
160,1
166,0
173,0
180,0
186,0
193,0
200,0
206,0
213,0
220,0
226,0
233,1
240,0
246,0
253,0
260,1
266,0
273,0
280,0
286,0
293,0
300,0
306,0
313,0
320,0
326,0
333,1
340,0
346,1
353,0
360,0
366,0
373,0
380,0
386,1
393,0
400,0
406,0
413,0
420,0
426,0
433,0
440,1
446,0
453,0
460,1
466,0
473,0
480,0
486,1
493,0
500,0
506,0
513,0
520,1
526,0
533,0
540,0
546,0
553,0
560,0
566,0
573,0
580,0
586,0
593,0
600,0
606,0
613,0
620,0
626,0
633,0
640,1
646,0
653,0
660,0
666,0
673,1
680,0
686,0
693,0
700,0
706,0
713,0
720,0
726,1
733,0
740,0
746,0
753,0
760,0
766,0
773,0
780,0
786,1
793,0
800,0
806,0
813,1
820,0
826,0
833,0
840,0
846,0
853,0
860,0
866,0
873,0
880,1
886,0
893,0
900,1
906,0
913,0
920,0
926,0
933,0
940,0
946,0
953,0
960,0
966,0
973,0
980,0
986,0
993,0
1000,0
1006,0
1013,0
1020,0
1026,1
1033,0
1040,0
1046,0
1053,1
1060,0
1066,0
1073,0
1080,0
1086,1
1093,0
1100,1
1106,0
1113,1
1120,0
1126,0
1133,0
1140,1
1146,1
1153,1
1160,0
1166,0
1173,0
1180,0
1186,0
1193,0
1200,0
1206,0
1213,0
1220,0
1226,1
1233,0
1240,0
1246,0
1253,1
1260,0
1266,0
1273,1
1280,0
1286,0
1293,0
1300,0
1306,0
1313,0
1320,0
1326,0
1333,1
1340,0
1346,0
1353,0
1360,0
1366,1
1373,0
1380,0
1386,0
1393,0
1400,0
1406,0
1413,0
1420,2
1426,0
1433,0
1440,0
1446,0
1453,0
1460,0
1466,0
1473,0
1480,1
1486,1
1493,0
1500,0
1506,0
1513,0
1520,0
1526,0
1533,0
1540,0
1546,0
1553,0
1560,0
1566,0
1573,1
1580,0
1586,1
1593,0
1600,1
1606,0
1613,1
1620,0
1626,0
1633,0
1640,0
1646,0
1653,0
1660,0
1666,0
1673,0
1680,0
1686,0
1693,1
1700,0
1706,1
1713,0
1720,1
1726,0
1733,0
1740,0
1746,1
1753,0
1760,0
1766,0
1773,0
1780,0
1786,0
1793,0
1800,0
1806,1
1813,0
1820,0
1826,0
1833,0
1840,0
1846,0
1853,0
1860,0
1866,0
1873,0
1880,2
1886,0
1893,0
1900,1
1906,0
1913,2
1920,0
1926,0
1933,0
1940,0
1946,0
1953,0
1960,0
1966,0
1973,0
1980,0
1986,0
1993,0
2000,0
2006,0
2013,0
2020,1
2026,1
2033,0
2040,0
2046,1
2053,2
2060,0
2066,0
2073,0
2080,0
2086,0
2093,0
2100,0
2106,0
2113,0
2120,0
2126,2
2133,0
2140,0
2146,0
2153,0
2160,0
2166,0
2173,0
2180,0
2186,0
2193,1
2200,0
2206,0
2213,0
2220,0
2226,0
2233,0
2240,1
2246,0
2253,0
2260,0
2266,0
2273,0
2280,0
2286,2
2293,0
2300,0
2306,0
2313,0
2320,0
2326,0
2333,0
2340,0
2346,1
2353,0
2360,0
2366,0
2373,0
2380,0
2386,0
2393,0
2400,0
2406,1
2413,1
2420,0
2426,0
2433,0
2440,0
2446,0
2453,0
2460,0
2466,0
2473,0
2480,0
2486,0
2493,0
2500,0
2506,0
2513,0
2520,0
2526,0
2533,0
2540,0
2546,1
2553,1
2560,0
2566,0
2573,0
2580,0
2586,0
2593,0
2600,1
2606,0
2613,2
2620,0
2626,0
2633,0
2640,0
2646,0
2653,1
2660,0
2666,1
2673,0
2680,0
2686,0
2693,0
2700,0
2706,0
2713,0
2720,1
2726,0
2733,0
2740,0
2746,0
2753,0
2760,1
2766,1
2773,0
2780,0
2786,0
2793,0
2800,1
2806,0
2813,0
2820,0
2826,0
2833,0
2840,1
2846,1
2853,0
2860,0
2866,0
2873,0
2880,0
2886,0
2893,0
2900,0
2906,0
2913,1
2920,0
2926,0
2933,0
2940,0
2946,0
2953,0
2960,0
2966,0
2973,0
2980,0
2986,1
2993,1
3000,0
3006,0
3013,0
3020,0
3026,0
3033,0
3040,0
3046,0
3053,0
3060,0
3066,0
3073,0
3080,0
3086,0
3093,0
3100,0
3106,0
3113,0
3120,0
3126,1
3133,0
3140,0
3146,0
3153,1
3160,0
3166,0
3173,0
3180,0
3186,0
3193,0
3200,0
3206,0
3213,0
3220,0
3226,0
3233,1
3240,0
3246,0
3253,0
3260,0
3266,0
3273,0
3280,0
3286,0
3293,1
3300,1
3306,0
3313,0
3320,0
3326,0
3333,0
3340,0
3346,1
3353,0
3360,0
3366,0
3373,0
3380,0
3386,0
3393,1
3400,0
3406,0
3413,0
3420,0
3426,0
3433,0
3440,0
3446,1
3453,0
3460,0
3466,0
3473,0
3480,0
3486,0
3493,0
3500,0
3506,0
3513,0
3520,0
3526,0
3533,0
3540,0
3546,0
3553,0
3560,0
3566,0
3573,0
3580,0
3586,1
3593,1
3600,0
3606,0
3613,1
3620,0
3626,0
3633,0
3640,1
3646,0
3653,0
3660,1
3666,0
3673,0
3680,0
3686,0
3693,0
3700,2
3706,0
3713,1
3720,0
3726,0
3733,0
3740,0
3746,0
3753,0
3760,1
3766,0
3773,0
3780,0
3786,0
3793,0
3800,0
3806,1
3813,1
3820,0
3826,0
3833,0
3840,0
3846,0
3853,1
3860,0
3866,0
3873,0
3880,2
3886,0
3893,0
3900,0
3906,0
3913,1
3920,0
3926,0
3933,0
3940,0
3946,2
3953,0
3960,0
3966,0
3973,0
3980,0
3986,0
3993,1
4000,0
4006,0
4013,1
4020,0
4026,0
4033,0
4040,0
4046,0
4053,0
4060,0
4066,0
4073,0
4080,0
4086,0
4093,0
4100,0
4106,0
4113,0
4120,0
4126,0
4133,0
4140,0
4146,0
4153,0
4160,1
4166,0
4173,0
4180,0
4186,0
4193,0
4200,1
4206,0
4213,0
4220,0
4226,0
4233,0
4240,1
4246,0
4253,0
4260,1
4266,0
4273,0
4280,0
4286,0
4293,0
4300,0
4306,0
4313,0
4320,0
4326,1
4333,0
4340,0
4346,0
4353,0
4360,0
4366,0
4373,0
4380,0
4386,0
4393,0
4400,0
4406,0
4413,0
4420,0
4426,0
4433,0
4440,1
4446,0
4453,0
4460,1
4466,0
4473,1
4480,0
4486,0
4493,0
4500,0
4506,0
4513,0
4520,0
4526,0
4533,1
4540,2
4546,1
4553,0
4560,0
4566,0
4573,0
4580,0
4586,1
4593,0
4600,0
4606,0
4613,0
4620,0
4626,0
4633,0
4640,0
4646,0
4653,0
4660,1
4666,1
4673,0
4680,2
4686,0
4693,0
4700,0
4706,0
4713,0
4720,0
4726,0
4733,0
4740,0
4746,0
4753,0
4760,0
4766,0
4773,0
4780,0
4786,0
4793,0
4800,0
4806,0
4813,0
4820,0
4826,1
4833,1
4840,0
4846,2
4853,0
4860,0
4866,0
4873,0
4880,0
4886,0
4893,0
4900,0
4906,0
4913,0
4920,0
4926,0
4933,0
4940,0
4946,1
4953,0
4960,0
4966,0
4973,0
4980,1
4986,0
4993,0
5000,1
5006,0
5013,0
5020,0
5026,0
5033,0
5040,1
5046,1
5053,0
5060,0
5066,1
5073,0
5080,0
5086,1
5093,0
5100,0
5106,0
5113,0
5120,0
5126,0
5133,0
5140,0
5146,0
5153,0
5160,0
5166,0
5173,0
5180,0
5186,1
5193,0
5200,0
5206,1
5213,0
5220,0
5226,0
5233,0
5240,0
5246,0
5253,0
5260,0
5266,0
5273,0
5280,1
5286,1
5293,0
5300,0
5306,0
5313,0
5320,0
5326,0
5333,0
5340,0
5346,1
5353,2
5360,0
5366,0
5373,0
5380,0
5386,0
5393,0
5400,0
5406,0
5413,0
5420,1
5426,0
5433,0
5440,1
5446,1
5453,0
5460,0
5466,0
5473,0
5480,0
5486,0
5493,1
5500,0
5506,1
5513,1
5520,0
5526,0
5533,0
5540,0
5546,1
5553,0
5560,0
5566,0
5573,1
5580,0
5586,0
5593,0
5600,0
5606,0
5613,0
5620,0
5626,1
5633,0
5640,0
5646,0
5653,0
5660,0
5666,0
5673,0
5680,1
5686,0
5693,0
5700,0
5706,0
5713,0
5720,1
5726,0
5733,0
5740,0
5746,0
5753,0
5760,0
5766,0
5773,0
5780,0
5786,1
5793,0
5800,0
5806,0
5813,0
5820,2
5826,0
5833,0
5840,0
5846,0
5853,0
5860,0
5866,0
5873,0
5880,1
5886,0
5893,0
5900,0
5906,0
5913,1
5920,0
5926,0
5933,0
5940,0
